modelName;type;maxPerturbation;size;clum_size;nlum_size;et_rel;et;|M*xt|_2;epsilon;max_deviation;norm_x0;compactum_bound;norm_fx0;max_allowed_slope;avg_per_err;avg_err;max_err;max_epsilon;consideredEpsilons;tolerance;t0;t1;secThisEpsilon;secTotal
BIOMD488_Tau_[e=60000000.000];paper/rational;0.0;68;64;9;9.058778032722483;3.3061352770128516;0.3649648181101575;59999999.99999964;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;616.500012370147;3.2217463233691106;3.616027160655044;75000000000.0;58;1e-06;0.0;10.0;14.463191032409668;14.904523611068726
BIOMD488_Tau_[e=1500000.000];paper/rational;0.0;68;64;43;0.19678912175383284;0.07182110602694525;0.3649648181101575;1499999.9999999388;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;11.25954881413803;0.05583600265935551;0.07182110602694525;75000000000.0;58;1e-06;0.0;10.0;34.62946557998657;35.12424111366272
BIOMD488_Tau_[e=1500000.000];paper/rational;0.0;68;64;43;0.19678912175383284;0.07182110602694525;0.3649648181101575;1499999.9999999388;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;11.25954881413803;0.05583600265935551;0.07182110602694525;75000000000.0;58;1e-06;0.0;10.0;2.8064088821411133;3.2956411838531494
BIOMD488_Tau_[e=1500000.000];paper/rational;0.0;68;64;43;0.19678912175383284;0.07182110602694525;0.3649648181101575;1499999.9999999388;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;11.25954881413803;0.05583600265935551;0.07182110602694525;75000000000.0;58;1e-06;0.0;10.0;2.8035073280334473;3.300837755203247
BIOMD488_Tau_[e=1500000.000];paper/rational;0.0;68;64;43;0.19678912175383284;0.07182110602694525;0.3649648181101575;1499999.9999999388;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;11.25954881413803;0.05583600265935551;0.07182110602694525;75000000000.0;58;1e-06;0.0;10.0;2.7948989868164062;3.3441295623779297
BIOMD488_Tau_[e=75000.000];paper/rational;0.0;68;64;56;0.19740255126754228;0.07204498621783961;0.3649648181101575;74999.9999995546;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;11.262484225438744;0.05584595704518566;0.07204498621783961;75000000000.0;58;1e-06;0.0;10.0;66.038902759552;66.56887936592102
BIOMD488_Tau_[e=150.000];paper/rational;0.0;68;64;60;0.028589556807596412;0.01043418240013444;0.3649648181101575;149.99999992104662;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;1.0722723752533543;0.007319118910676368;0.02893594398339805;75000000000.0;58;1e-06;0.0;10.0;68.1735405921936;68.70866203308105
BIOMD634_Tau_[e=60000000.000];paper/rational;0.0;68;64;9;9.897110208850211;3.2430955116354965;0.32768105469164627;59999999.99999964;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;673.8995800967182;3.2399841575501074;3.6257773214295277;75000000000.0;58;1e-06;0.0;12.0;14.996003150939941;15.437556266784668
BIOMD634_Tau_[e=1500000.000];paper/rational;0.0;68;64;43;0.22985163781031634;0.07531802710028673;0.32768105469164627;1499999.9999999388;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;12.943726034594064;0.05874993143717136;0.07531802710028673;75000000000.0;58;1e-06;0.0;12.0;39.240904092788696;39.74092960357666
BIOMD634_Tau_[e=1500000.000];paper/rational;0.0;68;64;43;0.22985163781031634;0.07531802710028673;0.32768105469164627;1499999.9999999388;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;12.943726034594064;0.05874993143717136;0.07531802710028673;75000000000.0;58;1e-06;0.0;12.0;2.900083541870117;3.403374433517456
BIOMD634_Tau_[e=1500000.000];paper/rational;0.0;68;64;43;0.22985163781031634;0.07531802710028673;0.32768105469164627;1499999.9999999388;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;12.943726034594064;0.05874993143717136;0.07531802710028673;75000000000.0;58;1e-06;0.0;12.0;2.918189764022827;3.4114110469818115
BIOMD634_Tau_[e=1500000.000];paper/rational;0.0;68;64;43;0.22985163781031634;0.07531802710028673;0.32768105469164627;1499999.9999999388;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;12.943726034594064;0.05874993143717136;0.07531802710028673;75000000000.0;58;1e-06;0.0;12.0;2.919748067855835;3.4733054637908936
BIOMD634_Tau_[e=75000.000];paper/rational;0.0;68;64;56;0.22989305537518634;0.0753315988516261;0.32768105469164627;74999.9999995546;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;12.956612658975896;0.05886850204590907;0.0753315988516261;75000000000.0;58;1e-06;0.0;12.0;67.31039428710938;67.84414291381836
BIOMD634_Tau_[e=150.000];paper/rational;0.0;68;64;60;0.049301821102847775;0.01615527273720002;0.32768105469164627;149.99999992104662;;10893.657650210971;10893.657650210971;1.478016689125442e+24;;1.5577749837067543;0.008363231193287166;0.02870665543309614;75000000000.0;58;1e-06;0.0;12.0;69.00819611549377;69.54913401603699
